,course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,rating,content_duration,published_timestamp,subject,Date,Free/Paid,clean_sorted,vid
3454,657050,Caza los Enormes Movimientos del Mercado,https://www.udemy.com/caza-los-enormes-movimientos-del-mercado/,20,6,2,13,All Levels,0.82,1.5,2015-11-12T04:52:21Z,Business Finance,2015-11-12,Paid,Caza los Enormes Movimientos del Mercado,vid3
3455,552606,Beginner Guitar Essentials,https://www.udemy.com/beginner-guitar-essentials/,95,5,2,45,All Levels,0.34,4.5,2015-08-06T18:39:34Z,Musical Instruments,2015-08-06,Paid,Beginner Guitar Essentials,vid4
3456,1216752,Curso de Bateria - Explorando Diferentes Divisões,https://www.udemy.com/diegogil-edd/,55,5,2,19,All Levels,0.89,2,2017-05-18T07:14:21Z,Musical Instruments,2017-05-18,Paid,Curso de Bateria Explorando Diferentes Divises,vid1
3457,208126,Aprende a tocar los mejores solos en la guitarra eléctrica,https://www.udemy.com/aprende-a-tocar-los-mejores-solos-en-la-guitarra-electrica/,30,5,1,16,Beginner Level,0.34,2,2014-05-07T21:18:09Z,Musical Instruments,2014-05-07,Paid,Aprende tocar los mejores solos en la guitarra elctrica,vid2
3458,556076,How To Play Guitar - Everything You Need To Know To Start,https://www.udemy.com/guitar101/,50,5,1,8,All Levels,0.6,1,2015-07-21T18:25:38Z,Musical Instruments,2015-07-21,Paid,Play Guitar Everything Need Know Start,vid3
3459,1174974,Curso de Violão Prático,https://www.udemy.com/harmonia-tonal/,70,5,0,10,All Levels,0.91,1.5,2017-04-12T08:28:40Z,Musical Instruments,2017-04-12,Paid,Curso de Violo Prtico,vid4
3460,218856,Aprende a tocar la flauta dulce de forma sencilla y gradual,https://www.udemy.com/aprende-a-tocar-la-flauta-dulce-curso-en-video/,50,5,0,23,All Levels,0.35,3,2014-05-19T16:49:04Z,Musical Instruments,2014-05-19,Paid,Aprende tocar la flauta dulce de forma sencilla gradual,vid1
3461,1129652,【すぐに覚える！】ASALATO-アサラト(打楽器)初心者向け入門講座,https://www.udemy.com/haqzhind/,20,5,1,7,Beginner Level,0.76,0.5833333333,2017-04-19T20:52:48Z,Musical Instruments,2017-04-19,Paid,ASALATO,vid2
3462,765056,Guitar Fundamentals for Beginners,https://www.udemy.com/guitar-fundamentals-for-beginners/,25,5,1,11,All Levels,0.8,2,2016-02-22T17:33:15Z,Musical Instruments,2016-02-22,Paid,Guitar Fundamentals Beginners,vid3
3463,1144780,Curso de batería online de Patricio Iglesias (Santa Sabina),https://www.udemy.com/cursodebateriaonlinedepatricioiglesias/,35,5,1,17,Beginner Level,0.79,4,2017-03-28T18:15:08Z,Musical Instruments,2017-03-28,Paid,Curso de batera online de Patricio Iglesias Santa Sabina,vid4
3464,214218,"Aprende a tocar jazz, salsa y blues en el piano",https://www.udemy.com/aprende-a-tocar-jazz-salsa-y-blues-en-el-piano/,20,5,0,23,All Levels,0.31,3,2014-05-19T15:55:12Z,Musical Instruments,2014-05-19,Paid,Aprende tocar jazz salsa blues en el piano,vid1
3465,1153326,Getting the Life of an Instructional Designer,https://www.udemy.com/getting-the-life-of-an-instructional-designer/,40,5,0,16,All Levels,0.94,1.5,2017-05-01T00:12:09Z,Graphic Design,2017-05-01,Paid,Getting Life Instructional Designer,vid2
3466,551964,Drawing for All Levels: How to Design Cartoon Women,https://www.udemy.com/drawing-for-all-levels-how-to-design-cartoon-women/,20,5,2,20,All Levels,0.94,1.5,2015-07-14T22:01:30Z,Graphic Design,2015-07-14,Paid,Drawing Levels Design Cartoon Women,vid3
3467,1031648,تصميم القوالب الدائرية بالفيغاس | Circular Templates Vegas,https://www.udemy.com/circular-templates-vegas/,20,5,2,9,All Levels,0.94,0.6,2016-12-22T14:39:13Z,Graphic Design,2016-12-22,Paid,    Circular Templates Vegas,vid4
3468,1240730,Architectural Drawing For Creatives,https://www.udemy.com/architectural-drawing-for-website-and-logo-designers/,195,5,0,156,All Levels,0.94,24,2017-06-21T15:35:08Z,Graphic Design,2017-06-21,Paid,Architectural Drawing Creatives,vid1
